,Method,Base_Base,Base_Test1,Image1,Image2
0,0.0,1.0,0.9989805158945759,youtube_timecode_000000032670_rendered.png,youtube_timecode_000000032676_rendered.png
1,1.0,0.0,0.3011317369958147,youtube_timecode_000000032670_rendered.png,youtube_timecode_000000032676_rendered.png
2,2.0,38.27171833495595,37.668825923390614,youtube_timecode_000000032670_rendered.png,youtube_timecode_000000032676_rendered.png
3,3.0,0.0,0.028886300943939968,youtube_timecode_000000032670_rendered.png,youtube_timecode_000000032676_rendered.png
4,0.0,1.0,0.9959147144831025,youtube_timecode_000000032676_rendered.png,youtube_timecode_000000032682_rendered.png
5,1.0,0.0,0.7058851671616007,youtube_timecode_000000032676_rendered.png,youtube_timecode_000000032682_rendered.png
6,2.0,39.1237883162612,38.22294443215651,youtube_timecode_000000032676_rendered.png,youtube_timecode_000000032682_rendered.png
7,3.0,0.0,0.04265773181114729,youtube_timecode_000000032676_rendered.png,youtube_timecode_000000032682_rendered.png
8,0.0,1.0,0.9971079520695235,youtube_timecode_000000032682_rendered.png,youtube_timecode_000000032688_rendered.png
9,1.0,0.0,7.614460999903181,youtube_timecode_000000032682_rendered.png,youtube_timecode_000000032688_rendered.png
10,2.0,40.84060511480493,39.265182631676,youtube_timecode_000000032682_rendered.png,youtube_timecode_000000032688_rendered.png
11,3.0,0.0,0.05687280835887015,youtube_timecode_000000032682_rendered.png,youtube_timecode_000000032688_rendered.png
12,0.0,1.0,0.996584236509238,youtube_timecode_000000032688_rendered.png,youtube_timecode_000000032694_rendered.png
13,1.0,0.0,9.19256598986662,youtube_timecode_000000032688_rendered.png,youtube_timecode_000000032694_rendered.png
14,2.0,40.669989049736614,38.48642508386547,youtube_timecode_000000032688_rendered.png,youtube_timecode_000000032694_rendered.png
15,3.0,0.0,0.052544137087822365,youtube_timecode_000000032688_rendered.png,youtube_timecode_000000032694_rendered.png
16,0.0,1.0,0.9972193981518354,youtube_timecode_000000032694_rendered.png,youtube_timecode_000000032700_rendered.png
17,1.0,0.0,0.6360032297652591,youtube_timecode_000000032694_rendered.png,youtube_timecode_000000032700_rendered.png
18,2.0,39.62469823430001,38.334102245325994,youtube_timecode_000000032694_rendered.png,youtube_timecode_000000032700_rendered.png
19,3.0,0.0,0.04364579451987888,youtube_timecode_000000032694_rendered.png,youtube_timecode_000000032700_rendered.png
20,0.0,1.0,0.9979113159151232,youtube_timecode_000000032700_rendered.png,youtube_timecode_000000032706_rendered.png
21,1.0,0.0,0.6243002409859907,youtube_timecode_000000032700_rendered.png,youtube_timecode_000000032706_rendered.png
22,2.0,39.91146119379846,38.16281152237934,youtube_timecode_000000032700_rendered.png,youtube_timecode_000000032706_rendered.png
23,3.0,0.0,0.045863856755673615,youtube_timecode_000000032700_rendered.png,youtube_timecode_000000032706_rendered.png
24,0.0,1.0,0.9971707962758758,youtube_timecode_000000032706_rendered.png,youtube_timecode_000000032712_rendered.png
25,1.0,0.0,0.7683240704798069,youtube_timecode_000000032706_rendered.png,youtube_timecode_000000032712_rendered.png
26,2.0,39.027326751289365,38.29551313548109,youtube_timecode_000000032706_rendered.png,youtube_timecode_000000032712_rendered.png
27,3.0,1.0536712127723509e-08,0.04944119344824791,youtube_timecode_000000032706_rendered.png,youtube_timecode_000000032712_rendered.png
28,0.0,1.0,0.9973556610729427,youtube_timecode_000000032712_rendered.png,youtube_timecode_000000032718_rendered.png
29,1.0,0.0,15.548613980787861,youtube_timecode_000000032712_rendered.png,youtube_timecode_000000032718_rendered.png
30,2.0,40.75792231692867,39.633966818120825,youtube_timecode_000000032712_rendered.png,youtube_timecode_000000032718_rendered.png
31,3.0,0.0,0.05133431349441543,youtube_timecode_000000032712_rendered.png,youtube_timecode_000000032718_rendered.png
32,0.0,1.0,0.9956564393238962,youtube_timecode_000000032718_rendered.png,youtube_timecode_000000032724_rendered.png
33,1.0,0.0,0.6425777079928802,youtube_timecode_000000032718_rendered.png,youtube_timecode_000000032724_rendered.png
34,2.0,41.1094142479742,40.234639643123955,youtube_timecode_000000032718_rendered.png,youtube_timecode_000000032724_rendered.png
35,3.0,0.0,0.04151696114577308,youtube_timecode_000000032718_rendered.png,youtube_timecode_000000032724_rendered.png
36,0.0,1.0,0.9982511992614486,youtube_timecode_000000032724_rendered.png,youtube_timecode_000000032730_rendered.png
37,1.0,0.0,0.45484570938573654,youtube_timecode_000000032724_rendered.png,youtube_timecode_000000032730_rendered.png
38,2.0,42.548475524125024,40.95231392866117,youtube_timecode_000000032724_rendered.png,youtube_timecode_000000032730_rendered.png
39,3.0,0.0,0.04113411449409813,youtube_timecode_000000032724_rendered.png,youtube_timecode_000000032730_rendered.png
40,0.0,1.0,0.9986636582462352,youtube_timecode_000000032730_rendered.png,youtube_timecode_000000032736_rendered.png
